id,decisions,caseno,title,type,claimant,econsector,instrumentinvk1,instrumentinvk2,partiessub,respondent,rulesapplied,seatarbitration,status,subject
339,,ARB/10/16,AES Corporation and Tau Power B.V. v. Republic of Kazakhstan (ICSID Case No. ARB/10/16),"",AES Corporation and Tau Power B.V.,Electric Power & Other Energy,BIT United States of America - Kazakhstan 1992,"ECT (Energy Charter Treaty), Investment Law - Kazakhstan (1994)",,KAZ,ICSID Convention - Arbitration Rules,"",Concluded,Power facilities and trading companies
337,,ARB/10/17,Renée Rose Levy de Levi v. Republic of Peru (ICSID Case No. ARB/10/17),"",Renée Rose Levy de Levi,Finance,BIT France - Peru 1993,"",,PER,ICSID Convention - Arbitration Rules,"",Concluded,Banking enterprise
336,,ARB/10/18,Niko Resources (Bangladesh) Ltd. v. Bangladesh Petroleum Exploration and Production Company Limited ("Bapex") and Bangladesh Oil Gas and Mineral Corporation ("Petrobangla") (ICSID Case No. ARB/10/18),"",Niko Resources (Bangladesh) Ltd.,Electric Power & Other Energy,"",Contract,,Bangladesh Petroleum Exploration and Production Company Limited ("Bapex") and Bangladesh Oil Gas and Mineral Corporation ("Petrobangla"),ICSID Convention - Arbitration Rules,"",Pending,Gas purchase and sale agreement
334,,ARB/10/19,Flughafen Zürich A.G. and Gestión e Ingeniería IDC S.A.  v. Bolivarian Republic of Venezuela (ICSID Case No. ARB/10/19),"",Flughafen Zürich A.G. and Gestión e Ingeniería IDC S.A.,Transportation,"BIT Venezuela,  Republica Bolivariana de - Chile 1993, BIT Venezuela,  Republica Bolivariana de - Switzerland 1993","",,VEN,ICSID Convention - Arbitration Rules,"",Pending,"Development, operation, and maintenance of an airport"
332,,ARB(AF)/10/1,David Minnotte and Robert Lewis v. Republic of Poland (ICSID Case No. ARB(AF)/10/1),"",David Minnotte and Robert Lewis,Other Industry,BIT United States of America - Poland 1990,"",,POL,ICSID Additional Facility - Arbitration Rules,England,Concluded,Blood treatment and processing facilities
329,,ARB/10/21,"International Quantum Resources Limited, Frontier SPRL and Compagnie Minière de Sakania SPRL v. Democratic Republic of the Congo (ICSID Case No. ARB/10/21)","","International Quantum Resources Limited, Frontier SPRL and Compagnie Minière de Sakania SPRL","Oil, Gas & Mining","","Other, Investment Law - Congo (2002)",,Democratic Republic of the Congo,ICSID Convention - Arbitration Rules,"",Concluded,Mining concessions
330,,ARB/10/20,Standard Chartered Bank (Hong Kong) Limited v. Tanzania Electric Supply Company Limited (ICSID Case No. ARB/10/20),"",Standard Chartered Bank (Hong Kong) Limited,Electric Power & Other Energy,"",Contract,,Tanzania Electric Supply Company Limited,ICSID Convention - Arbitration Rules,"",Pending,Power purchase agreement
319,,ARB/10/25,"Border Timbers Limited, Timber Products International (Private) Limited, and Hangani Development Co. (Private) Limited v. Republic of Zimbabwe (ICSID Case No. ARB/10/25)","","Border Timbers Limited, Timber Products International (Private) Limited, and Hangani Development Co. (Private) Limited","Agriculture, Fishing & Forestry",BIT Zimbabwe - Switzerland 1996,"",,ZWE,ICSID Convention - Arbitration Rules,"",Pending,Forestry and timber processing enterprises
324,,ARB/10/23,"TECO Guatemala Holdings, LLC v. Republic of Guatemala (ICSID Case No. ARB/10/23)","","TECO Guatemala Holdings, LLC",Electric Power & Other Energy,"",CAFTA-DR (Dominican Republic-Central America Free Trade Agreement),,GTM,ICSID Convention - Arbitration Rules,"",Pending,Electricity distribution concession
314,,ARB/11/4,Club Hotel Loutraki S.A. and Casinos Austria International Holding GMBH v. Republic of Serbia (ICSID Case No. ARB/11/4),"",Club Hotel Loutraki S.A. and Casinos Austria International Holding GMBH,Other Industry,"BIT Greece - Serbia 1997, BIT Serbia - Austria 2001","",,SRB,ICSID Convention - Arbitration Rules,"",Concluded,Operation of gaming and entertainment facilities
