DISPUTE.id,DISPUTE.title,DISPUTE.economic_sector,DISPUTE.case_respondent,DISPUTE.amount_of_damages,DISPUTE.case_law_text,DISPUTE.case_treaties_tid,DISPUTE.case_claimant,DISPUTE.arbitration_rules,DISPUTE.outcome,DISPUTE.case_treaties,DISPUTE.case_country,ICSID.id,ICSID.decisions,ICSID.caseno,ICSID.title,ICSID.type,ICSID.claimant,ICSID.econsector,ICSID.instrumentinvk1,ICSID.instrumentinvk2,ICSID.partiessub,ICSID.respondent,ICSID.rulesapplied,ICSID.seatarbitration,ICSID.status,ICSID.subject
4258,"B-Mex, LLC and others v. United Mexican States, ICSID Case No. ARB(AF)/16/3",Other service activities,,,NAFTA,11.0,,ICSID Additional Facility,,NAFTA,,45.0,,ARB(AF)/16/3,"B-Mex, LLC and others v. United Mexican States (ICSID Case No. ARB(AF)/16/3)",,"B-Mex, LLC and others",Other Industry,,NAFTA (North American Free Trade Agreement),,MEX,ICSID Additional Facility - Arbitration Rules,"Toronto, Canada",Pending,Gaming industry
1445,Peter Franz Vocklinghaus v. Czech Republic,,CZE,,Czech Republic-Germany BIT,149.0,Vocklinghaus,,,Czech Republic-Germany BIT,,,,,,,,,,,,,,,,
1153,"Vivendi v. Republic of Poland, UNCITRAL",,POL,,France-Poland BIT,612.0,Vivendi,UNCITRAL,,France-Poland BIT,,,,,,,,,,,,,,,,
3947,"Viorel Micula, European Drinks SA, rIENI dRINKS sa, Transilvania General Import-Export SRL, West Leasing International SRL v. European  Commission, ECJ- Case T-702/15",Accommodation and food service activities,,,,,,,,,,,,,,,,,,,,,,,,
1797,Victims of the Stanford Ponzi Scheme v. The Government of the United States of America,,USA,,CAFTA,231.0,Victims of the Stanford Ponzi Scheme,,,CAFTA,,,,,,,,,,,,,,,,
1151,"Veteran Petroleum Limited (Cyprus) v. The Russian Federation, UNCITRAL, PCA Case No. AA 228",,RUS,,Energy Charter Treaty (ECT),59.0,Veteran Petroleum Limited (Cyprus),UNCITRAL,,Energy Charter Treaty (ECT),,,,,,,,,,,,,,,,
2101,"Veolia Propreté v. Arab Republic of Egypt, ICSID Case No. ARB/12/15",,EGY,,Egypt-France BIT,928.0,Veolia Propreté,ICSID,,Egypt-France BIT,,249.0,,ARB/12/15,Veolia Propreté v. Arab Republic of Egypt (ICSID Case No. ARB/12/15),,Veolia Propreté,"Water, Sanitation & Flood Protection","BIT France - Egypt,  Arab Republic of 1974",,,EGY,ICSID Convention - Arbitration Rules,,Pending,Waste management services
2099,"Venoklim Holding B.V. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/12/22",,VEN,,Netherlands-Venezuela BIT,192.0,Venoklim Holding B.V.,ICSID,,Netherlands-Venezuela BIT,,239.0,,ARB/12/22,Venoklim Holding B.V. v. Bolivarian Republic of Venezuela (ICSID Case No. ARB/12/22),,Venoklim Holding B.V.,Other Industry,,Investment Law - Venezuela (1999),,VEN,ICSID Convention - Arbitration Rules,,Pending,Lubricant production facilities
4254,"Venezuela US, S.R.L. (Barbados) ​v. Bolivarian Republic of Venezuela, PCA Case No. 2013-34","Mining and quarrying, including hydrocarbons (oil and gas)",,,,3325.0,,UNCITRAL,,Agreement between the Government of Barbados and the Republic of Venezuela for the Promotion and Protection of Investments,,,,,,,,,,,,,,,,
3645,"Venezuela Holdings B.V. and others v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/07/27","Mining and quarrying, including hydrocarbons (oil and gas)",,,Netherlands-Venezuela BIT,192.0,,ICSID,Pending,Netherlands-Venezuela BIT,,437.0,,ARB/07/27,Venezuela Holdings B.V. and others v. Bolivarian Republic of Venezuela (ICSID Case No. ARB/07/27),,Venezuela Holdings B.V. and others,,"BIT Netherlands - Venezuela,  Republica Bolivariana de 1991",Investment Law - Venezuela (1999),,VEN,ICSID Convention - Arbitration Rules,,Concluded,Oil and gas enterprise
1654,"Vattenfall AB and others v. Federal Republic of Germany, ICSID Case No. ARB/12/12",,DEU,,Energy Charter Treaty (ECT),59.0,Vattenfall AB,ICSID,,Energy Charter Treaty (ECT),,254.0,,ARB/12/12,Vattenfall AB and others v. Federal Republic of Germany  (ICSID Case No. ARB/12/12),,Vattenfall AB and others,Electric Power & Other Energy,,ECT (Energy Charter Treaty),,DEU,ICSID Convention - Arbitration Rules,,Pending,Nuclear power plant
1148,"Vattenfall AB, Vattenfall Europe AG, Vattenfall Europe Generation AG v. Federal Republic of Germany, ICSID Case No. ARB/09/6 (formerly Vattenfall AB, Vattenfall Europe AG, Vattenfall Europe Generation AG & Co. KG v. The Federal Republic of Germany)",,DEU,,Energy Charter Treaty (ECT),59.0,Vattenfall AB,ICSID,,Energy Charter Treaty (ECT),,390.0,,ARB/09/6,"Vattenfall AB, Vattenfall Europe AG, Vattenfall Europe Generation AG v. Federal Republic of Germany  (ICSID Case No. ARB/09/6)",,"Vattenfall AB, Vattenfall Europe AG, Vattenfall Europe Generation AG",Electric Power & Other Energy,,ECT (Energy Charter Treaty),,DEU,ICSID Convention - Arbitration Rules,,Concluded,Power plant construction project
1146,"Vannessa Ventures Ltd. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB(AF)04/6",,VEN,,Canada-Venezuela BIT,467.0,Vanessa Ventures Ltd.,ICSID Additional Facility,,Canada-Venezuela BIT,,549.0,,ARB(AF)/04/6,Vannessa Ventures Ltd.  v. Bolivarian Republic of Venezuela  (ICSID Case No. ARB(AF)/04/6),,Vannessa Ventures Ltd.,"Oil, Gas & Mining","BIT Canada - Venezuela,  Republica Bolivariana de 1996",,,VEN,ICSID Additional Facility - Arbitration Rules,"Paris, France",Concluded,Gold and copper mining project
2160,"Lieven J. van Riet, Chantal C. van Riet and Christopher van Riet v. Republic of Croatia, ICSID Case No. ARB/13/12",,HRV,,Belgium-Luxembourg-Croatia BIT,939.0,van Riet,ICSID,,Belgium-Luxembourg-Croatia BIT,,200.0,,ARB/13/12,"Lieven J. van Riet, Chantal C. van Riet and Christopher van Riet v. Republic of Croatia  (ICSID Case No. ARB/13/12)",,"Lieven J. van Riet, Chantal C. van Riet and Christopher van Riet",Tourism,BIT Croatia - Belgium-Luxembourg 2001,,,HRV,ICSID Convention - Arbitration Rules,,Concluded,Tourism facilities
2127,"Valores Mundiales, S.L. and Consorcio Andino S.L. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/13/11",,VEN,,Spain-Venezuela BIT,610.0,"Valores Mundiales, S.L. , Consorcio Andino S.L.",ICSID,,Spain-Venezuela BIT,,201.0,,ARB/13/11,"Valores Mundiales, S.L. and Consorcio Andino S.L. v. Bolivarian Republic of Venezuela (ICSID Case No. ARB/13/11)",,"Valores Mundiales, S.L. and Consorcio Andino S.L.","Agriculture, Fishing & Forestry","BIT Spain - Venezuela,  Republica Bolivariana de 1995",,,VEN,ICSID Convention - Arbitration Rules,,Pending,Food products enterprise
2097,"Valle Verde Sociedad Financiera S.L. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/12/18",,VEN,,Spain-Venezuela BIT,610.0,Valle Verde Sociedad Financiera S.L.,ICSID,,Spain-Venezuela BIT,,245.0,,ARB/12/18,Valle Verde Sociedad Financiera S.L.  v. Bolivarian Republic of Venezuela (ICSID Case No. ARB/12/18),,Valle Verde Sociedad Financiera S.L.,Finance,"BIT Spain - Venezuela,  Republica Bolivariana de 1995",,,VEN,ICSID Convention - Arbitration Rules,,Pending,Banking enterprise
